    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150108,18:00,0.09,0.07,0.04,0.02,                    AQI,0,                    LST,                    LST,0.03,0,0.61,0.05,0.04
20150108,19:00,0.06,0.02,0.04,0,                    AQI,0,                    LST,                    LST,0.02,0,0.37,0.06,0.07
20150108,20:00,0.02,0.02,0.04,0.02,                    AQI,0,                    LST,                    LST,0,0,                     ST,0.11,0.05
20150108,21:00,0.02,0.03,0.05,0.02,                    AQI,0,                    LST,                    LST,0.06,0,                     BL,0.04,0.05
20150108,22:00,0.04,0.05,0.08,0.04,                    AQI,0,                    LST,                    LST,0.06,0,0.56,0.05,                     ST
20150108,23:00,0.03,0.03,0.04,0,                    AQI,0,                    LST,                    LST,0.29,0.02,0.03,0.09,                     BL
20150109,0:00,                     ST,0.02,0.02,0.04,                    AQI,                     ST,                    LST,                    LST,                     ST,0.02,0.6,                     ST,0.05
20150109,1:00,                     BL,0.03,0,0,                    AQI,                     BL,                    LST,                    LST,                     BL,0.06,0.29,                     BL,0.05
20150109,2:00,0.3,                     ST,                     ST,                     ST,                     ST,0,                    LST,                    LST,0.06,                     ST,                     ST,0.3,                     ST
20150109,3:00,0.44,                     BL,                     BL,                     BL,                     BL,0,                    LST,                    LST,0.03,                     BL,                     BL,0.04,                     BL
20150109,4:00,0.62,0,0,0,0.02,0,                    LST,                    LST,0.05,0.05,0.14,0.04,1.3
20150109,5:00,0.38,0.01,0,0,0.05,0,                    LST,                    LST,0.04,0.03,0.17,0.04,1.19
20150109,6:00,0.1,0.03,0,0.02,0.05,0,                    LST,                    LST,0.03,0.25,0.05,0.39,1.14
20150109,7:00,0.05,0.02,0.04,0.02,0.03,0.05,                    LST,                    LST,0.02,0.07,0.03,0.04,1.03
20150109,8:00,0.62,0.03,0.05,0.04,                     IQ,0.29,                    LST,                    LST,0.01,0.03,0.05,0.1,0.29
20150109,9:00,0.14,0.06,0.03,0.03,0.1,0.42,                    LST,                    LST,0.02,0.03,0.04,0.32,0.11
20150109,10:00,0.08,0.02,0.03,0.04,0.24,0.04,                    LST,                    LST,0.01,0.02,0.03,0.36,0.06
20150109,11:00,0.15,0.02,0.02,0.03,0.07,0.03,                    LST,                    LST,0.01,0.03,0.02,0.16,0.1
20150109,12:00,0.1,0,0.03,0.03,0.06,0.05,                    LST,                    LST,0,0.02,0.03,0.41,0.22
20150109,13:00,0.12,0.02,0.02,0.03,0.05,0.01,                    LST,                    LST,0.01,0.02,0.03,1.05,0.24
20150109,14:00,0.15,0.02,0.03,0.03,0.05,0,                    LST,                    LST,0.01,0.01,0.02,1.04,0.07
20150109,15:00,0.08,0.01,0.02,0.03,0.04,0.01,                    LST,                    LST,0.01,0.05,0.04,0.74,0.1
20150109,16:00,0.23,0.03,0.02,0.02,0.05,0,                    LST,                    LST,0.02,0.09,0.03,1.38,0.13
20150109,17:00,0.35,0,0,0.03,0.14,0.03,                    LST,                    LST,0.01,0.03,0.03,1.61,0.17
20150109,18:00,0.3,0.04,0,0.02,0.18,0.01,                    LST,                    LST,0.02,0.02,0.03,1.32,0.06
20150109,19:00,0.07,0.02,0,0.02,0.2,0,                    LST,                    LST,0.02,0.04,0.02,1.5,0.05
20150109,20:00,0.05,0,0,0,0.2,0,                    LST,                    LST,0.01,0.02,0.03,2.49,0.05
20150109,21:00,0.03,0,0,0.02,0.11,0.01,                    LST,                    LST,0.01,0.03,0.02,3.7,0.05
20150109,22:00,0.05,0,0,0.02,0.02,0,                    LST,                    LST,0.01,0.02,0.02,0.53,0.18
20150109,23:00,0.14,0,0.02,0.02,0.02,0,                    LST,                    LST,0.01,0.01,0.02,0.32,0.42
20150110,0:00,                     BL,                     ST,                     ST,                     ST,                     ST,0,                    LST,                    LST,0,                     ST,0.04,0.28,0.45
20150110,1:00,                     BL,                     BL,                     BL,                     BL,                     BL,0.03,                    LST,                    LST,0.01,                     BL,0.09,0.14,                     ST
20150110,2:00,1.12,0,0.02,0.03,0.03,                     ST,                    LST,                    LST,                     ST,0.02,                     ST,                     ST,                     BL
20150110,3:00,1.06,0,0,0.04,0.01,                     BL,                    LST,                    LST,                     BL,0.01,                     BL,                     BL,0.05
20150110,4:00,0.83,0,0,0.05,0.03,0.02,                    LST,                    LST,0.06,0.01,0.26,0.03,0.03
20150110,5:00,0.09,0,0.02,0.05,0.05,0,                    LST,                    LST,0.21,0.02,0.09,0.02,0.04
20150110,6:00,0,0.08,0.03,0.05,0.05,0,                    LST,                    LST,0.16,0.01,0.04,0.02,0.04
